序号,提交答卷时间,所用时间,来源,来源详情,来自IP,总分,1、你的性别：,2、你的专业：,3、你的年级：,4、你的生源地,5、你每月的零花钱大概是,6、周六下午13:30，你刚睡醒午觉。室外万里无云。团支书昨天通知说今天15:00要在4km外的闵行公园举办主题团日活动。你对以下出行方式的偏好是—地铁/公交车,6、出租车/网约车,6、电动车/自行车,6、步行,7、周六下午13:30，你刚被闹钟叫醒。天气十分晴朗。你准备与同学一起去1.9公里外的高中参加14:00的招新宣讲。你对以下出行方式的偏好是—地铁/公交车,7、出租车/网约车,7、电动车/自行车,7、步行,8、周六下午13:30，天下着小雨。你和同学一起去16km外的富通大学参加14:00的学术会议。你对以下出行方式的偏好是—地铁/公交车,8、出租车/网约车,8、电动车/自行车,8、步行,9、周六下午13:30，天气晴朗。你准备与同学一起去1.6公里外的星星广场购物。你们约定15:00见面。你对以下出行方式的偏好是—地铁/公交车,9、出租车/网约车,9、电动车/自行车,9、步行,10、周六下午13:30，天高气爽。你和高中同学约好15:00去19km外的八宝古镇游览。你对以下出行方式的偏好是—地铁/公交车,10、出租车/网约车,10、电动车/自行车,10、步行,11、周六下午13:30，外面风雨交加。你的同学提醒你14:00要到1.9公里外的华东大学参加组会。你对以下出行方式的偏好是—地铁/公交车,11、出租车/网约车,11、电动车/自行车,11、步行,12、周六下午13:30，外面下着小雨。你与同学去1.8公里外的师范大学参加15:00的球赛。你对以下出行方式的偏好是—地铁/公交车,12、出租车/网约车,12、电动车/自行车,12、步行,13、周六下午13:30，外面下着小雨。高中同学拉你一起去4.4km外的兰香湖赏景。你们觉得15:00到都没关系。你对以下出行方式的偏好是—地铁/公交车,13、出租车/网约车,13、电动车/自行车,13、步行,14、周六下午13:30，天高气爽。你和高中同学约好14:00去15.6km外的城市剧院欣赏《魅影歌剧》。你对以下出行方式的偏好是—地铁/公交车,14、出租车/网约车,14、电动车/自行车,14、步行,15、周六下午13:30，天下着小雨。你和高中同学约好15:00去逛17km外的美丽城广场。你对以下出行方式的偏好是—地铁/公交车,15、出租车/网约车,15、电动车/自行车,15、步行,16、周六下午13:30，外面下着雨。很不幸你中午吃了不良食品，胃部十分疼痛，准备在30min内赶到5km外的第十医院就诊。你对以下出行方式的偏好是—地铁/公交车,16、出租车/网约车,16、电动车/自行车,16、步行,17、周六下午13:30，天高气爽。你与同学准备去5km外的YouMin影院观看15:00开始的电影《东西好》。你对以下出行方式的偏好是—地铁/公交车,17、出租车/网约车,17、电动车/自行车,17、步行
15,2024/12/13 19:56:18,149秒,微信,N/A,58.247.22.186(上海-上海),4313,1,2,1,33,3000,0,20,80,(空),(空),(空),100,(空),20,80,(空),(空),(空),(空),100,(空),100,(空),(空),(空),(空),(空),100,(空),(空),(空),100,(空),(空),(空),44,100,100,0,(空),70,100,(空),(空),(空),(空),100,(空),(空),20,(空),79,(空)
16,2024/12/13 20:00:43,147秒,微信,N/A,58.247.22.111(上海-上海),3700,1,1,2,9,2500,0,0,80,20,0,0,100,0,0,100,0,0,0,0,0,100,79,0,21,0,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,0,0,100,0,0,7,0,93,0
17,2024/12/13 20:02:33,214秒,微信,N/A,211.80.41.120(上海-上海),3469,1,2,3,26,2273,0,22,85,0,0,34,67,0,0,100,0,0,0,0,61,40,78,15,0,0,0,0,98,0,0,0,30,72,0,0,0,99,0,94,2,5,66,27,6,0,8,89,0,0,71,0,27,0
18,2024/12/13 20:06:11,185秒,微信,N/A,58.247.22.61(上海-上海),1813,1,1,3,26,772,24,(空),94,(空),(空),22,82,9,92,20,1,0,(空),(空),100,(空),79,21,0,0,0,100,0,0,15,82,0,0,0,0,0,0,(空),(空),(空),(空),87,13,(空),(空),(空),100,(空),(空),85,(空),15,(空)
19,2024/12/13 20:06:53,332秒,微信,N/A,58.247.22.204(上海-上海),3971,1,2,1,26,2729,12,0,100,2,7,5,100,0,0,100,0,0,0,7,54,42,100,0,0,3,85,22,0,0,91,5,2,5,70,24,0,0,0,100,0,2,50,22,28,0,0,100,0,3,6,0,95,0
20,2024/12/13 20:08:33,166秒,微信,N/A,58.247.22.255(上海-上海),3689,2,4,1,26,2500,78,(空),50,(空),(空),(空),100,(空),(空),100,0,(空),(空),(空),100,(空),100,(空),0,(空),100,(空),(空),(空),(空),(空),79,(空),82,(空),(空),(空),0,100,0,(空),100,(空),(空),(空),(空),100,(空),(空),(空),(空),100,(空)
21,2024/12/13 20:09:36,218秒,微信,N/A,58.247.22.155(上海-上海),3094,2,2,2,24,1655,82,21,55,0,38,17,81,25,82,34,0,0,18,8,73,22,79,27,0,0,21,35,71,13,16,36,9,63,57,14,10,2,78,32,0,0,84,56,0,0,0,88,0,0,64,4,24,0
22,2024/12/13 20:12:54,258秒,微信,N/A,39.144.104.118(上海-上海),4483,2,4,2,26,3283,60,40,0,0,0,0,100,(空),0,100,(空),(空),0,0,100,0,(空),100,(空),(空),20,80,0,0,100,0,0,0,100,0,0,0,0,100,0,0,50,50,0,0,0,100,0,0,80,20,0,0
23,2024/12/13 20:13:28,191秒,微信,N/A,58.247.22.232(上海-上海),4600,1,2,2,26,3000,50,30,70,0,10,50,100,0,80,80,0,0,0,50,90,0,100,30,0,0,0,90,10,0,0,80,20,20,50,70,20,0,80,80,0,0,80,50,0,0,0,100,0,0,50,30,30,0
24,2024/12/13 20:21:34,145秒,微信,N/A,180.166.197.29(上海-上海),3214,1,4,3,12,2000,19,41,61,(空),(空),(空),100,(空),79,25,0,(空),(空),18,84,(空),89,10,0,(空),(空),38,61,(空),(空),19,75,0,(空),(空),60,27,(空),100,(空),(空),83,21,(空),(空),(空),100,(空),(空),40,(空),64,(空)
25,2024/12/13 20:27:37,256秒,微信,N/A,58.247.22.253(上海-上海),4236,2,1,2,3,3001,32,3,69,13,22,18,0,41,22,75,(空),(空),(空),20,78,(空),26,77,0,(空),(空),15,65,27,(空),18,37,30,85,9,11,3,36,79,(空),(空),44,63,(空),(空),11,90,(空),(空),18,20,78,(空)
26,2024/12/13 20:27:57,178秒,微信,N/A,112.65.8.159(上海-上海),3339,1,1,2,1,2000,(空),100,(空),(空),21,(空),100,78,(空),100,(空),(空),(空),(空),100,(空),40,61,(空),(空),(空),(空),100,(空),(空),(空),100,(空),(空),(空),100,(空),0,100,(空),(空),100,39,(空),(空),(空),100,0,(空),(空),(空),100,(空)
27,2024/12/13 20:33:52,403秒,微信,N/A,180.166.197.105(上海-上海),3825,2,4,2,26,2000,100,0,80,30,60,0,100,80,100,0,0,0,10,0,80,80,100,0,0,0,75,0,0,100,75,0,20,100,100,0,0,75,0,100,0,0,100,0,0,0,20,100,0,0,100,0,40,0
28,2024/12/13 20:39:10,218秒,微信,N/A,101.229.13.238(上海-上海),4367,2,2,2,26,3084,81,40,(空),(空),(空),100,(空),(空),(空),100,(空),(空),61,40,(空),(空),60,79,(空),(空),58,66,(空),(空),39,41,0,(空),38,40,(空),(空),(空),100,(空),(空),79,82,(空),(空),(空),99,(空),(空),80,(空),(空),(空)
29,2024/12/13 20:45:44,200秒,微信,N/A,58.247.22.188(上海-上海),2680,1,1,2,26,1200,70,0,70,0,50,0,90,0,30,80,0,0,50,0,80,0,90,0,0,0,80,0,20,30,80,0,30,30,80,0,20,0,50,70,20,0,80,0,20,0,60,80,0,0,70,0,50,0
30,2024/12/13 21:02:42,136秒,微信,N/A,180.175.224.64(上海-上海),5544,1,1,2,26,3940,(空),65,70,(空),(空),(空),100,(空),97,100,0,0,(空),(空),79,(空),92,96,(空),(空),(空),90,73,(空),8,89,(空),(空),(空),91,11,(空),92,(空),(空),(空),99,91,3,(空),(空),95,(空),(空),80,83,(空),(空)
31,2024/12/13 21:21:11,300秒,微信,N/A,114.84.245.150(上海-上海),4600,1,1,2,26,3000,50,0,100,60,0,0,100,80,30,80,0,0,0,0,100,60,80,30,40,0,0,20,20,0,0,0,100,60,0,0,100,60,30,80,0,0,80,20,0,0,0,80,20,0,40,20,60,0
32,2024/12/13 21:41:06,158秒,微信,N/A,58.247.22.78(上海-上海),4520,2,1,2,26,3300,(空),80,20,(空),(空),0,100,(空),100,(空),(空),(空),(空),100,(空),(空),100,(空),0,(空),(空),100,(空),(空),(空),100,(空),(空),100,(空),(空),(空),100,(空),(空),(空),100,(空),(空),(空),(空),100,(空),(空),0,80,40,0
33,2024/12/13 21:47:50,254秒,微信,N/A,58.247.22.243(上海-上海),4383,1,1,2,26,2664,100,21,82,0,78,0,79,0,100,24,0,0,39,0,83,21,100,63,0,0,82,19,57,0,99,22,0,0,100,24,0,0,41,100,0,0,100,22,0,0,0,82,0,0,100,0,81,0
34,2024/12/13 21:56:12,263秒,微信,N/A,58.247.241.109(上海-上海),3728,2,1,2,26,2528,60,(空),40,0,(空),(空),20,80,75,25,(空),(空),0,(空),(空),100,100,(空),(空),(空),(空),40,10,50,(空),(空),(空),100,(空),60,40,0,90,10,(空),(空),70,30,(空),(空),(空),100,(空),(空),60,(空),40,(空)
35,2024/12/13 21:56:23,172秒,微信,N/A,58.247.22.71(上海-上海),7219,1,1,2,26,5976,69,52,51,0,75,74,73,0,69,69,0,0,76,22,76,35,100,29,26,0,0,62,79,72,0,0,71,63,0,(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空),(空)
36,2024/12/13 22:08:48,252秒,微信,N/A,58.247.22.92(上海-上海),4200,2,2,2,15,3000,60,20,20,0,0,0,100,0,0,100,0,0,0,0,100,0,80,20,0,0,0,20,80,0,0,0,100,0,100,0,0,0,40,60,0,0,60,40,0,0,0,100,0,0,80,20,0,0
37,2024/12/13 22:24:59,166秒,微信,N/A,58.247.22.113(上海-上海),4546,1,2,2,19,2906,100,0,0,0,51,23,66,0,100,63,0,0,77,0,78,21,100,30,0,0,87,75,0,0,79,63,0,0,86,31,0,0,100,54,0,0,100,33,0,0,0,100,0,0,74,49,0,0
38,2024/12/13 22:53:31,333秒,微信,N/A,183.192.111.236(上海-上海),5200,2,3,4,7,4000,(空),0,100,0,(空),(空),100,(空),(空),100,0,0,0,(空),100,(空),100,(空),(空),(空),(空),(空),100,(空),(空),(空),100,(空),60,40,(空),(空),(空),100,(空),(空),(空),100,(空),(空),(空),100,0,(空),(空),50,50,(空)
39,2024/12/13 23:52:46,195秒,微信,N/A,58.247.22.184(上海-上海),2750,1,2,2,26,1500,(空),(空),100,(空),(空),(空),100,(空),0,(空),100,(空),(空),(空),100,(空),100,(空),(空),(空),(空),(空),100,(空),(空),(空),100,(空),(空),(空),100,(空),0,100,(空),(空),65,35,0,0,(空),100,(空),(空),100,(空),50,(空)
40,2024/12/14 0:05:16,189秒,微信,N/A,58.247.22.20(上海-上海),3590,2,2,1,20,2229,60,21,20,33,17,62,2,4,2,100,3,3,39,15,5,5,60,62,2,4,61,63,3,1,0,80,1,2,41,64,6,3,0,100,0,0,51,100,0,2,1,100,0,2,59,100,0,2
41,2024/12/14 1:11:11,247秒,微信,N/A,211.80.61.93(上海-上海),4201,1,1,1,26,3000,(空),(空),100,(空),(空),(空),100,(空),20,80,(空),(空),(空),(空),100,(空),80,20,(空),(空),(空),(空),100,(空),(空),(空),100,(空),30,31,40,(空),40,60,(空),(空),80,20,0,(空),0,100,(空),(空),(空),(空),100,(空)
42,2024/12/14 5:54:03,230秒,微信,N/A,128.189.215.111(国外-加拿大),4518,1,2,3,26,3050,7,0,73,24,2,0,81,70,84,19,0,0,12,1,77,66,82,46,5,0,70,58,0,0,55,36,48,0,53,31,19,0,0,100,0,0,57,35,0,0,0,100,0,0,37,58,62,0
43,2024/12/14 9:01:29,365秒,微信,N/A,58.247.22.90(上海-上海),4502,2,2,3,26,2868,91,23,60,0,41,5,80,47,15,87,0,0,15,5,82,80,86,24,0,0,20,85,0,20,47,77,24,23,69,41,4,10,29,77,0,0,85,18,0,0,0,100,0,0,77,20,67,0
44,2024/12/14 9:27:38,150秒,微信,N/A,58.247.22.154(上海-上海),2163,1,1,2,12,763,(空),100,(空),(空),(空),(空),100,(空),100,(空),(空),(空),0,(空),100,100,100,(空),(空),(空),100,(空),(空),100,(空),(空),(空),100,(空),(空),100,(空),100,(空),(空),(空),100,(空),(空),(空),(空),100,(空),(空),100,(空),(空),(空)
45,2024/12/14 10:53:57,383秒,微信,N/A,58.247.22.185(上海-上海),9300,2,2,2,26,8000,5,90,20,0,0,60,30,0,0,100,0,0,0,50,40,10,10,90,0,0,20,80,0,0,0,90,20,5,40,(空),60,40,40,80,20,5,35,60,0,0,0,100,0,0,20,80,0,0
46,2024/12/14 12:24:10,565秒,微信,N/A,39.144.105.5(上海-上海),4633,1,1,2,26,3000,81,86,0,0,0,100,70,0,88,35,0,0,63,75,66,0,78,59,0,0,(空),(空),(空),93,0,100,0,0,22,80,0,0,92,42,0,0,80,62,0,0,0,100,0,0,84,77,0,0
47,2024/12/16 16:01:53,110秒,手机提交,直接访问,58.247.22.244(上海-上海),4109,1,1,1,23,2902,100,(空),62,(空),(空),(空),100,(空),100,(空),(空),(空),(空),(空),100,(空),100,24,(空),0,0,18,28,22,(空),0,100,39,(空),0,95,0,100,(空),0,(空),100,(空),(空),(空),(空),19,(空),(空),(空),0,100,(空)
48,2024/12/16 17:21:50,814秒,手机提交,直接访问,58.247.22.72(上海-上海),5678,2,4,1,23,4095,60,0,40,0,0,0,80,89,70,30,0,0,0,0,74,77,100,24,(空),(空),100,(空),37,21,(空),98,69,(空),(空),(空),100,(空),(空),100,(空),(空),100,21,(空),(空),(空),(空),(空),92,100,(空),81,20
49,2024/12/16 18:02:05,218秒,手机提交,直接访问,58.247.22.2(上海-上海),6177,1,1,2,23,4981,74,22,0,(空),0,0,100,(空),79,20,(空),(空),0,0,100,(空),100,0,(空),(空),50,50,0,(空),0,100,(空),(空),100,(空),0,(空),100,(空),(空),(空),100,(空),(空),(空),(空),100,(空),(空),49,26,26,0
50,2024/12/16 20:19:37,246秒,手机提交,直接访问,58.247.22.84(上海-上海),3200,1,2,1,23,2000,5,0,95,0,5,0,95,0,80,18,2,0,0,0,100,0,66,33,1,0,40,0,60,0,31,46,23,0,99,0,1,0,100,0,0,0,100,0,0,0,1,99,0,0,84,1,15,(空)
51,2024/12/20 14:49:31,288秒,微信,N/A,223.104.5.116(上海-上海),3834,1,2,2,33,2148,73,(空),51,(空),29,(空),79,60,0,100,(空),(空),37,(空),100,70,85,43,(空),(空),42,(空),37,71,(空),0,75,79,93,(空),(空),44,(空),100,(空),(空),83,44,(空),(空),18,78,60,(空),99,36,(空),(空)
52,2024/12/20 16:52:03,132秒,微信,N/A,144.12.108.47(山东-菏泽),3007,1,1,4,23,1498,14,13,16,14,27,14,15,8,43,31,0,0,37,15,6,3,35,32,50,4,62,75,52,9,69,58,52,0,72,53,55,7,76,63,36,6,55,26,11,7,52,20,27,11,65,50,53,10
